Account Name,Adjusted Cost,Adjusted Proceeds,Avg Buy Price,Avg Sell Price,Exit Efficiency,Best Exit,Best Exit Price,Best Exit Time,Close Date,Close Time,Commission,Duration,Emotions & Habits,Entry Price,Executions,Exit Price,Gross P&L,Trade Risk,Initial Target,Instrument,Spread Type,Market Context,Mistakes,Net P&L,Net ROI,Open Date,Open Time,Outcomes & Learnings,Pips,Reward Ratio,Points,Position MAE,Position MFE,Price MAE,Price MFE,Realized RR,Return Per Pip,Reviewed,Sector,Setups,Side,Status,Playbook,Symbol,Ticks Value,Ticks Per Contract,Fee,Swap,Trade Type,Rating,Quantity,Zella Score
JPATrades,634.0,1354.0,3.17,6.77,56.28,1279.4,9.567,2026-03-03 15:00:00 UTC,2026-03-03,09:30:18 EST,0.0,85576.153,"",4.51,3,6.77,720.0,0.0,0.0,2026-03-04 600 PUT,single,"","",720.0,1.13564669,2026-03-02,09:44:02 EST,"",,,,-340.0,857.0,1.47,7.455,,,false,"","",short,Win,"",QQQ,,,0.0,0.0,"",,2.0,84.01400233
JPATrades,12778.8,17787.0,21.298,29.645,93.63,5348.8,33.508,2026-03-03 15:13:00 UTC,2026-03-03,09:44:23 EST,0.0,3532920.82,"",26.42,12,30.1,5008.0,0.0,0.0,2026-05-15 610 PUT,single,"","",5008.0,0.39189295,2026-01-21,12:22:22 EST,"",,,,-1482.0,6182.0,16.26,33.59,,,false,"","",short,Win,"",QQQ,,,0.0,0.0,"",,6.0,81.00938208
JPATrades,4715.0,4688.0,9.43,9.376,,,,,2026-03-04,10:13:55 EST,0.0,61.799,"",9.45,6,9.36,-27.0,0.0,0.0,2026-03-13 610 PUT,single,"","",-27.0,-0.00572641,2026-03-04,10:12:53 EST,"",,,,-40.0,0.0,9.35,9.45,,,false,"","",short,Loss,"",QQQ,,,0.0,0.0,"",,5.0,-67.5
JPATrades,5357.1,5604.9,7.653,8.007,53.1,467.0,10.35,2026-03-04 18:50:00 UTC,2026-03-04,10:20:59 EST,0.0,440.311,"",7.69,6,8.16,248.0,0.0,0.0,2026-03-13 610 CALL,single,"","",248.0,0.04629457,2026-03-04,10:13:38 EST,"",,,,-65.0,274.0,7.34,8.27,,,false,"","",long,Win,"",QQQ,,,0.0,0.0,"",,7.0,90.51094891
JPATrades,3244.0,3368.0,8.11,8.42,344.44,36.0,7.69,2026-03-05 16:58:00 UTC,2026-03-05,10:00:34 EST,0.0,167.796,"",8.11,3,8.57,124.0,0.0,0.0,2026-03-13 612 CALL,single,"","",124.0,0.03822441,2026-03-05,09:57:46 EST,"",,,,0.0,124.0,8.11,8.57,,,false,"","",long,Win,"",QQQ,,,0.0,0.0,"",,4.0,100.0
JPATrades,850.0,1110.0,8.5,11.1,136.84,190.0,10.4,2026-03-05 16:38:00 UTC,2026-03-05,10:47:36 EST,0.0,557.01,"",8.5,2,11.1,260.0,0.0,0.0,2026-03-05 6845 CALL,single,"","",260.0,0.30588235,2026-03-05,10:38:19 EST,"",,,,-10.0,350.0,8.4,12.0,,,false,"","",long,Win,"",SPXW,,,0.0,0.0,"",,1.0,74.28571429
JPATrades,872.0,918.0,2.18,2.295,115.0,40.0,2.15,2026-03-05 16:54:00 UTC,2026-03-05,10:55:39 EST,0.0,445.92,"",2.18,5,2.21,46.0,0.0,0.0,2026-03-06 685 CALL,single,"","",46.0,0.05275229,2026-03-05,10:48:13 EST,"",,,,-28.0,66.0,1.98,2.39,,,false,"","",long,Win,"",SPY,,,0.0,0.0,"",,4.0,69.6969697
JPATrades,5439.0,5859.0,1.813,1.953,97.12,430.4,2.062,2026-03-05 20:38:00 UTC,2026-03-05,15:34:33 EST,0.0,20046.589,"",2.18,16,2.0,418.0,0.0,0.0,2026-03-13 225 CALL,single,"","",418.0,0.07683824,2026-03-05,10:00:27 EST,"",,,,-1185.4,680.0,1.223,2.062,,,false,"","",long,Win,"",AMZN,,,0.0,0.0,"",,30.0,61.47058824
JPATrades,4800.0,4998.0,9.6,9.996,,,,,2026-03-06,11:01:09 EST,0.0,335.14,"",9.6,5,10.0,198.0,0.0,0.0,2026-03-16 675 CALL,single,"","",198.0,0.04125,2026-03-06,10:55:34 EST,"",,,,29.4,224.1,9.698,10.087,,,false,"","",long,Win,"",SPY,,,0.0,0.0,"",,5.0,86.59476117
JPATrades,4345.0,4442.0,8.69,8.884,115.2,84.2,8.562,2026-03-06 16:15:00 UTC,2026-03-06,11:07:12 EST,0.0,402.623,"",8.69,5,8.69,97.0,0.0,0.0,2026-03-16 677 CALL,single,"","",97.0,0.02232451,2026-03-06,11:00:29 EST,"",,,,47.5,132.8,8.656,9.009,,,false,"","",long,Win,"",SPY,,,0.0,0.0,"",,5.0,58.03048066
JPATrades,1898.0,1941.0,9.49,9.705,144.78,29.7,9.467,2026-03-06 16:26:00 UTC,2026-03-06,11:17:03 EST,0.0,116.049,"",9.49,3,9.6,43.0,0.0,0.0,2026-03-16 675 CALL,single,"","",43.0,0.02265543,2026-03-06,11:15:07 EST,"",,,,0.4,59.6,9.459,9.766,,,false,"","",long,Win,"",SPY,,,0.0,0.0,"",,2.0,71.95945946
JPATrades,215.0,0.0,2.15,0.0,,,,,2026-03-06,15:22:51 EST,0.0,0.0,"",2.15,1,,0.0,0.0,0.0,2026-03-09 405 CALL,single,"","",0.0,0.0,2026-03-06,15:22:51 EST,"",,,,,,,,,,false,"","",long,BE,"",TSLA,,,0.0,0.0,"",,1.0,
